
DISEASE TREND REPORT,Period: 2026-02-16 to 2026-03-18
Disease,Season,Total Cases,Trend Score,Seasonal Weight,Status
Diabetes,Summer,152,102.0,1.5,High
Flu,Summer,143,94.95,1.5,High
Migraine,Summer,117,65.25,1.5,High
COVID-19,Monsoon,140,63.6,1.0,High
Asthma,Summer,100,57.6,1.5,High
Hypertension,All,139,50.5,1.0,High
Allergy,All,111,42.1,1.0,Moderate
Arthritis,Winter,100,38.0,1.0,Moderate

SPIKE ALERTS,As of: 2026-03-18
Disease,Today Count,Mean (7d),Std Dev,Threshold,Spike?
Asthma,2,3.29,3.09,9.47,no
Hypertension,1,3.57,2.15,7.87,no
Diabetes,30,4,2.08,8.16,YES
COVID-19,32,3.71,2.06,7.83,YES
Arthritis,1,3,1.83,6.65,no
Migraine,0,3.29,1.98,7.24,no
Allergy,0,3.86,1.07,6.0,no
Flu,26,4,2.0,8.0,YES

RESTOCK SUGGESTIONS
Drug,Generic Name,Current Stock,Predicted Demand,Suggested Restock,Status,Contributing Diseases
Ibuprofen,Ibuprofen,85,3832.48,3747,critical,"COVID-19, Diabetes, Arthritis, Asthma, Allergy, Flu, Hypertension, Migraine"
Cetirizine,Cetirizine hydrochloride,150,3875.85,3725,critical,"COVID-19, Diabetes, Arthritis, Asthma, Flu, Allergy, Hypertension, Migraine"
Paracetamol,Acetaminophen,1800,2985.1,1185,low,"COVID-19, Diabetes, Asthma, Arthritis, Allergy, Hypertension, Flu, Migraine"
Metformin,Metformin hydrochloride,2000,2927.25,927,low,"Diabetes, COVID-19, Arthritis, Asthma, Hypertension, Allergy, Flu, Migraine"
Amoxicillin,Amoxicillin trihydrate,5000,2907.89,0,sufficient,"COVID-19, Diabetes, Asthma, Arthritis, Allergy, Hypertension, Flu, Migraine"
Aspirin,Acetylsalicylic acid,4000,3337.58,0,sufficient,"COVID-19, Diabetes, Arthritis, Asthma, Hypertension, Allergy, Flu, Migraine"
